AbertsTowhee                                      HornedGrebeBreeding
AcornWoodpecker                                   HornedGrebeNonbreedingjuvenile
AllensHummingbirdAdultMale                        HornedLark
AllensHummingbirdFemaleimmature                   HouseFinchAdultMale
AmericanAvocet                                    HouseFinchFemaleimmature
AmericanBlackDuck                                 HouseWren
AmericanCoot                                      HuttonsVireo
AmericanCrow                                      IncaDove
AmericanDipper                                    IndigoBuntingFemalejuvenile
AmericanGoldfinchBreedingMale                     JuniperTitmouse
AmericanKestrelAdultmale                          Killdeer
AmericanKestrelFemaleimmature                     Ladder-backedWoodpecker
AmericanOystercatcher                             LarkBuntingBreedingmale
AmericanPipit                                     LarkBuntingFemaleNonbreedingmale
AmericanRedstartFemalejuvenile                    LarkSparrow
AmericanRobinAdult                                LaughingGullBreeding
AmericanRobinJuvenile                             LaughingGullNonbreedingImmature
AmericanTreeSparrow                               LazuliBuntingAdultMale
AmericanWhitePelican                              LazuliBuntingFemalejuvenile
AmericanWigeonBreedingmale                        LeastSandpiper
AmericanWigeonFemaleEclipsemale                   LesserGoldfinchAdultMale
AmericanWoodcock                                  LesserGoldfinchFemalejuvenile
Anhinga                                           LesserScaupBreedingmale
AnnasHummingbirdAdultMale                         LesserScaupFemaleEclipsemale
AnnasHummingbirdFemaleimmature                    LesserYellowlegs
Ash-throatedFlycatcher                            LittleBlueHeronAdult
BaldEagleAdultsubadult                            LittleBlueHeronImmature
BaldEagleImmaturejuvenile                         LoggerheadShrike
BaltimoreOrioleAdultmale                          Long-billedCurlew
Band-tailedPigeon                                 Long-tailedDuckFemalejuvenile
BarnOwl                                           Long-tailedDuckSummermale
BarredOwl                                         Long-tailedDuckWintermale
BarrowsGoldeneyeBreedingmale                      MacGillivraysWarbler
BarrowsGoldeneyeFemaleEclipsemale                 MagnoliaWarblerFemaleimmaturemale
Bay-breastedWarblerFemaleNonbreedingmaleImmature  MallardFemaleEclipsemale
BellsVireo                                        MarbledGodwit
BeltedKingfisher                                  MarshWren
BewicksWren                                       Merlin
Black-and-whiteWarbler                            MewGull
Black-belliedPloverBreeding                       MexicanJay
Black-belliedPloverNonbreedingjuvenile            MississippiKite
Black-belliedWhistling-Duck                       MonkParakeet
Black-billedCuckoo                                MottledDuck
Black-billedMagpie                                MountainBluebird
Black-cappedChickadee                             MountainChickadee
Black-chinnedHummingbirdAdultMale                 MourningDove
Black-chinnedHummingbirdFemaleimmature            MuteSwan
Black-crestedTitmouse                             NeotropicCormorant
Black-crownedNight-HeronAdult                     NorthernBobwhite
Black-crownedNight-HeronImmature                  NorthernCardinalFemaleJuvenile
Black-headedGrosbeakAdultMale                     NorthernFlickerRed-shafted
Black-headedGrosbeakFemaleimmaturemale            NorthernFlickerYellow-shafted
Black-leggedKittiwakeAdult                        NorthernGannetAdultSubadult
Black-leggedKittiwakeImmature                     NorthernGannetImmatureJuvenile
Black-neckedStilt                                 NorthernHarrierAdultmale
Black-tailedGnatcatcher                           NorthernHarrierFemaleimmature
Black-throatedGrayWarbler                         NorthernMockingbird
Black-throatedGreenWarbler                        NorthernParula
BlackGuillemotBreeding                            NorthernPintailBreedingmale
BlackGuillemotNonbreedingjuvenile                 NorthernPintailFemaleEclipsemale
BlackOystercatcher                                NorthernPygmy-Owl
BlackPhoebe                                       NorthernRough-wingedSwallow
BlackRosy-Finch                                   NorthernSaw-whetOwl
BlackScoterFemalejuvenile                         NorthernShovelerBreedingmale
BlackScoterMale                                   NorthernShovelerFemaleEclipsemale
BlackSkimmer                                      NorthernShrike
BlackTern                                         NorthernWaterthrush
BlackTurnstone                                    NorthwesternCrow
BlackVulture                                      NuttallsWoodpecker
BlackburnianWarbler                               OakTitmouse
BlackpollWarblerBreedingmale                      Orange-crownedWarbler
BlackpollWarblerFemalejuvenile                    OrchardOrioleFemaleJuvenile
Blue-grayGnatcatcher                              OrchardOrioleImmatureMale
Blue-wingedTealFemalejuvenile                     Osprey
Blue-wingedTealMale                               Pacific-slopeFlycatcher
BlueGrosbeakFemalejuvenile                        PacificWren
BlueJay                                           PaintedBuntingAdultMale
Boat-tailedGrackle                                PaintedBuntingFemalejuvenile
BobolinkBreedingmale                              PeregrineFalconAdult
BobolinkFemalejuvenilenonbreedingmale             PeregrineFalconImmature
BonapartesGull                                    PhainopeplaFemalejuvenile
BorealChickadee                                   PhainopeplaMale
Brant                                             Pied-billedGrebe
BrewersBlackbirdFemaleJuvenile                    PigeonGuillemotNonbreedingjuvenile
BrewersSparrow                                    PineSiskin
BridledTitmouse                                   PineWarbler
Broad-billedHummingbirdAdultMale                  PlumbeousVireo
Broad-billedHummingbirdFemaleimmature             PrairieFalcon
Broad-tailedHummingbirdAdultMale                  PurpleFinchFemaleimmature
Broad-tailedHummingbirdFemaleimmature             PurpleGallinuleAdult
Broad-wingedHawkAdult                             PurpleGallinuleImmature
Broad-wingedHawkImmature                          PurpleMartinAdultmale
Brown-cappedRosy-Finch                            PurpleMartinFemalejuvenile
Brown-headedCowbirdFemaleJuvenile                 PygmyNuthatch
Brown-headedCowbirdMale                           Pyrrhuloxia
Brown-headedNuthatch                              Red-breastedMerganserBreedingmale
BrownCreeper                                      Red-breastedNuthatch
BrownPelican                                      Red-breastedSapsucker
BuffleheadBreedingmale                            Red-eyedVireo
BuffleheadFemaleimmaturemale                      Red-napedSapsucker
BullocksOrioleAdultmale                           Red-neckedGrebeBreeding
